,MarketCap,Volume,CurrentPrice,52WeekLow,52WeekHigh,ROE(%),ROA(%),OperatingProfitMargin(%),NetProfitMargin(%),EPS,PER,PBR,PSR,PCR,DividendYield,DividendPayoutRatio
ADBE,250.23B,2.82M,548.76,278.23,574.4,8.893255578093306,4.822963217600551,34.70347648261758,120.9550962223806,3.0767543859649122,178.35678150614754,15.861724420203156,51.17271256710123,133.60094204651628,0.0,
STE,21.96B,332.65K,222.32,160.15,254.0,1.999782466967026,1.145675504757807,14.705708338069131,152.88942486685983,1.2507870946842004,177.74408471999007,3.5544950423013786,17.0963601373047,78.11713712741714,0.008681179994679464,-0.3757628243521052
BALL,30.09B,2.3M,44.08,43.58,62.14,4.430217669654289,0.8576669475980369,8.8334268087493,182.08092485549133,0.25339503278769143,173.95763976157886,7.706702094431023,8.439335860558929,47.318666161561545,0.018148819572788542,-0.36416184971098264
IQV,51.24B,1.13M,199.36,171.24,241.86,5.167014613778706,1.1407282224612074,14.592274678111588,183.16498316498317,1.1556420233463034,172.51016887831767,8.913625636196999,13.743433518471125,127.4515426787571,0.0,
PG,580.09B,7.07M,144.69,125.86,158.38,7.190056305109954,2.800652161318889,20.25008514572082,122.99054373522458,0.844054454482418,171.42259207687198,12.32538089000605,28.224300665992057,108.61150563342721,0.025627202553276572,-0.6764184397163121
GWW,80.21B,269.06K,731.46,503.61,811.6,14.564611093895257,5.852322251276304,15.805834528933524,140.63829787234044,4.286005356284728,170.6624143388177,24.85631693190094,19.18013743167009,178.24741053165405,0.009788641600248192,-0.2276595744680851
FTNT,45.38B,11.56M,57.76,42.61,81.24,82.90784557907845,3.5572594541884293,21.581064356435643,104.76905745399925,0.33897657841140527,170.3952485219545,141.271029518669,35.09920690083268,88.09212712365849,0.0,
ITW,127.32B,1.1M,231.5,188.04,264.19,24.369747899159663,4.817275747508306,24.791359842906235,133.9522546419098,1.3709332143484518,168.86307631697613,41.15150599321267,31.25251829725086,161.16805005443038,0.023023758099352053,-0.5278514588859416
JBHT,32B,837.85K,191.41,159.83,209.21,4.845494146996248,2.2982318048161603,8.641703773483115,142.81674685574407,1.1336933234678632,168.83755042025282,8.181013623545189,10.2161975307146,52.49323051895334,0.008672482985426146,-0.2296361948172533
VTR,17.41B,2.54M,43.43,35.89,53.15,1.004386844224555,0.41264237344531673,14.01725300490438,149.90478768136256,0.2580544580140485,168.29781062263783,1.6903610690117294,15.73714240991049,55.83516950855362,0.041446004774388284,-1.7426367529216167
AMT,79.66B,1.97M,166.96,154.58,235.57,3.96178959291092,0.7112845586806023,31.522170509073856,183.6661761614463,0.9969861968654771,167.4647123889871,6.634599547225095,28.741553444976425,65.86982279100476,0.04659798566810801,-1.5297456380071475
FCX,57.36B,9.42M,35.45,27.83,46.73,1.3178622200023054,0.6737776730115701,24.577305211783163,411.0787172011662,0.21199011124845488,167.22478494004676,2.203792263204981,9.997925960333978,34.284579339172765,0.021156558077823052,-0.6268221574344023
WHR,14.18B,455.86K,123.29,121.88,160.74,3.875968992248062,0.5005594487957128,6.886477462437396,388.2352941176471,0.7391304347826086,166.80411888571348,6.465275925802848,2.958754195593832,132.50794490921163,0.056776704907286674,-1.1294117647058823
DHR,184.19B,3.09M,209.43,196.11702,249.5922,2.1382723687263168,1.3026783821346966,19.96646639653486,129.20433996383363,1.2575326890278566,166.5403965265367,3.561087281694177,25.736157406504066,95.63534712271527,0.005061357193670856,-0.19710669077757687
CRM,209.3B,3.67M,204.59,126.34,238.22,2.181398712165559,1.370514997782513,17.7263745205161,120.36306235201262,1.238514173998045,165.18987076058573,3.6034497133993684,24.328207166530525,259.02916615552243,0.0,
GNRC,7.43B,960.81K,101.63,86.29,156.95,1.8619585045010305,0.8492718205341593,8.593590691909398,190.2119562812514,0.6183289342481504,164.36235088528363,3.0603587705063635,7.425730728407118,89.34597201718702,0.0,
PPL,18.4B,4.59M,23.89,22.2,31.74,0.8023497385199512,0.29245874242740755,16.730663741086122,272.32142857142856,0.14545208976991297,164.24651875019075,1.317831513720278,10.09084481624869,44.649539077721755,0.03955630071759104,-1.5803571428571428
MKTX,9.78B,294.21K,238.78,200.01,399.78,5.137705863571289,3.6968461410667426,42.106580074063366,126.50896272908001,1.4619006833632875,163.33530827138907,8.391687710341396,54.363667903745856,92.767028652647,0.011977552620073018,-0.4492390450892932
EQR,22.7B,1.84M,59.89,54.6,69.45,1.2019051858846186,0.6909802072687466,30.467762149924233,156.9994899535211,0.3672585291989645,163.0731341223737,1.959984455801389,31.646430602762248,64.36122803518217,0.043646686035061326,-1.8081291351479494
WM,100.1B,2.65M,158.81,148.31,173.71,8.8770207852194,1.9453406718542419,18.460636843133425,153.65853658536585,0.9757529965600613,162.75635137013734,14.44791514039181,19.55365424743787,97.17976319673248,0.017316290172382714,-0.46016260162601624
ROL,17.7B,1.67M,35.91,34.29,45.04,8.20600122930209,4.237361166146661,18.859457812975936,140.53457777616373,0.22349504874044865,160.67469972954723,13.18496783498409,21.562221690297314,120.05178276211406,0.014480646121124235,-0.580545291121542
IDXX,35.38B,1.03M,426.18,320.81,564.74,20.499496736788313,7.810907459438221,31.38348717187881,132.0679997859398,2.7014778976517735,157.75808976495162,32.339614463385836,37.488256007687006,176.59795629129113,0.0,
ZBH,32.94B,1.51M,104.3,102.0,149.25,1.6932447934338295,0.9843009631685474,19.362430466409926,172.70992366412216,0.6637112096263458,157.1466649033641,2.6608777215311195,17.61764065240967,94.67646152269364,0.009204218330881636,-0.23998091603053434
TMO,213.13B,2M,482.85,470.61,609.85,3.0991688489126723,1.4462568407629777,16.477963881351172,129.39015429831008,3.0833846507693865,156.59739565189562,4.853217704252077,19.9428329261935,138.39549057287658,0.0027958993122816295,-0.09919177075679647
JKHY,15.14B,454.67K,145.43,139.28,202.66,6.078482570826417,3.5248425820509293,23.230658731019727,127.02791159113455,0.9393231070890404,154.82424692656434,9.41096486484447,28.314007516826422,86.73468494883902,0.014096129431638144,-0.3875405275485052
CHRW,15.05B,1.22M,84.0,83.71,108.05,7.010698742964339,1.8003940975283155,2.9992609438208753,136.28077602860785,0.543045914153702,154.68305314645073,10.844362862517082,3.4042573977985713,66.95281810418446,0.029047619047619048,-0.7476673928233795
TXN,265.94B,4.09M,152.75,149.53,188.12,10.803011292346298,5.565790749539416,43.52240123593026,114.51800232288036,0.9890867317633544,154.43539488966317,16.68367314930991,58.692948576473185,190.09131522516083,0.03247135842880524,-0.6533101045296167
IR,27.47B,2.42M,64.22,45.14,70.65,1.893380026159234,1.194389364278775,16.151793655499556,151.75487465181058,0.41961011081489263,153.04683935281346,2.89775828697418,16.28930190562112,120.27980588366907,0.0012457178212293423,-0.04512534818941504
ODFL,44.29B,593.76K,405.08,250.38,438.05,7.629418833596248,5.871982184131054,27.709952455050246,133.94148350332807,2.6739414155479757,151.49172087947628,11.557937884117823,31.340763691031732,153.8716734983513,0.00370297237514202,-0.14972876091968176
EW,45.94B,3.02M,70.78,67.13,94.87,4.763825331575274,3.4107063527321193,29.29028885113057,145.94594594594594,0.4731166230164844,149.60370305321263,7.126859103023595,30.02437407374304,1367.3600359417144,0.0,
TDG,52.14B,228.24K,857.09,521.43,940.0,-14.661654135338345,1.7949373561748911,44.896788990825684,223.0769230769231,5.769912081663292,148.54472905736122,-21.779114410665745,29.896330217393228,128.42167462840834,0.0,0.0
CNP,17.4B,5.74M,27.57,25.42,31.52,1.1383368705382984,0.309735674725044,20.266666666666666,322.03389830508473,0.18698295321259778,147.44659457526805,1.6784389504033985,9.279305685270202,22.625095136387035,0.0272034823468206,-1.0169491525423728
UNP,231.2B,1.82M,207.75,183.69,240.48,11.891768985902683,2.376084684930262,36.961261110179436,140.47163798597833,1.4098571645401632,147.35535288623328,17.523158153592544,38.77252199874224,114.56915197150644,0.02503008423586041,-0.5054174633524537
ED,33.27B,1.82M,88.02,80.46,100.92,1.086277337178563,0.35439306267739257,9.205163043478262,119.91150442477876,0.5978835978835979,147.21928642070398,1.599209744344105,11.301480547241542,31.03690180137976,0.03658259626000167,-1.2300884955752212
BKNG,188.85B,273.13K,2950.08,1701.34,3251.71,-193.98496240601503,4.857293470893893,30.648114243866715,129.7674418604651,20.151674310451885,146.39379501061651,-283.9819482160832,34.57488018375967,108.72078040512108,0.0,
ACN,200.88B,1.55M,301.83,242.8,330.44,5.189100569331105,2.679197635763901,11.96681930785977,139.3278624405756,2.0629809785518587,146.3076924655601,7.592053302705582,12.566314363948702,58.91821299617198,0.019116722183660565,-0.514262219739352
KO,372.35B,14.44M,52.89,51.55,64.99,9.244337979094077,2.586942390509466,20.055128633478112,94.26776599921476,0.36178977272727275,146.18986874877308,13.514285558330611,31.101369504103324,83.31743023117588,0.03441104218194051,-0.7805261091480172
ROP,52.82B,295.46K,497.84,365.11,508.9,2.179040839847366,1.3288225954465338,28.42868338557994,119.29295697451356,3.4392082940622055,144.75424393381803,3.1542540927301723,34.496358157948144,165.2716633649881,0.006733086985090192,-0.19868457111537408
INVH,19.91B,1.57M,32.54,28.52,36.535,1.340736311874265,0.7435125878702455,29.554009847228052,128.70219926884465,0.2252841081739563,144.43984167050576,1.9365574060901667,33.167859813686526,70.8775737037288,0.030731406633821665,-1.1552326930888412
ECL,46.87B,635.99K,164.63,131.04,191.41,4.349317327353077,1.536618786178354,13.127904260014017,153.38186229905975,1.1579758652120307,142.17049752817428,6.183446083376962,12.168327155328019,81.74679636386303,0.012877360973833815,-0.45768880800727935
